"","Type","Value","PC1a","PC2a","PC1d","PC2d"
"1","Soil","1",4.316085489,-0.225318766,5.841499764,0.353204173
"2","Soil","2",3.713160855,-0.854738218,3.629024423,-1.86438152
"3","Soil","3",0.041619798,0.775870082,-0.124110686,0.692995529
"4","Soil","4",-0.606299213,0.972747419,-0.411385859,1.318926975
"5","Soil","5",0.20359955,0.955692664,0.165930322,0.898658718
"6","Soil","6",-0.615298088,1.574533722,-0.489959388,1.694485842
"7","Soil","7",-2.253093363,-1.18479015,-2.544157544,-0.93442623
"8","Soil","8",-1.785151856,-1.067498299,-2.225075259,-0.997019374
"9","Soil","9",-1.101237345,-1.120622647,-1.477124853,-1.113263785
"10","Soil","10",-1.938132733,0.135922755,-2.231484266,0.076005961
"11","Property","AlOx",1.949381327,-1.072287371,2.153584847,-1.479880775
"12","Property","CEC",2.09336333,-0.048173619,2.5073293,-0.12071535
"13","Property","Clay %",-1.497187852,2.732226211,-1.625082199,2.400894188
"14","Property","FeOx",1.79640045,0.948498953,2.029375027,0.174366617
"15","Property","Hext",2.165354331,0.553703616,2.578452916,0.263785395
"16","Property","OC",2.003374578,-0.29977166,2.437335809,-0.165424739
"17","Property","pH",-1.596175478,-2.477465766,-1.928565764,-1.846497765
"18","Contaminant","MSM",NA,NA,1.985523146,1.989567809
"19","Contaminant","IMHP",NA,NA,2.269735081,0.442622951
"20","Contaminant","TCP",NA,NA,2.535656812,-0.603576751
