Flu_202,BaA_228,IP_276,C_type,C_mgkg,Sum_PAH
0.5,0.34,0.47,Black carbon,2.497576087,74.77058796
0.54,0.25,0.4,Black carbon,2.89624597,99.16039922
0.55,0.23,0.48,Black carbon,3.281168616,94.47952635
0.56,0.2,0.44,Black carbon,3.597355076,116.6520821
0.56,0.22,0.47,Black carbon,3.583607838,132.9119562
0.56,0.31,0.49,Black carbon,3.693585737,114.6811882
0.56,0.33,0.52,Black carbon,3.693585737,135.1292118
0.56,0.34,0.45,Black carbon,3.693585737,140.0564464
0.57,0.15,0.38,Black carbon,3.803563636,104.0876338
0.57,0.18,0.4,Black carbon,4.380947605,86.10322754
0.57,0.2,0.42,Black carbon,4.683386827,116.8984438
0.57,0.22,0.46,Black carbon,5.370748694,113.2030178
0.57,0.28,0.45,Black carbon,5.590704492,95.95769673
0.58,0.24,0.43,Black carbon,5.686935154,124.2892957
0.58,0.2,0.5,Black carbon,5.796913052,147.69366
0.58,0.21,0.46,Black carbon,6.085605037,176.025259
0.58,0.29,0.44,Black carbon,6.291813597,124.042934
0.58,0.33,NA,Black carbon,6.388044259,143.5055106
0.59,0.17,0.43,Black carbon,6.388044259,185.8797282
0.59,0.21,0.47,Black carbon,6.580505582,163.9535342
0.59,0.23,0.48,Black carbon,6.992922702,219.1385617
0.59,0.27,0.51,Black carbon,6.992922702,216.9213062
0.6,0.19,0.36,Black carbon,7.295361924,194.0096653
0.6,0.16,0.42,Total carbon,5.576957255,57.52526686
0.6,0.22,0.5,Total carbon,7.116647838,150.4036391
0.6,0.25,NA,Total carbon,7.295361924,137.1001056
0.61,0.21,0.43,Total carbon,7.364098111,159.2726613
0.61,0.24,0.46,Total carbon,8.67008566,90.78410041
0.61,0.27,0.48,Total carbon,10.01731492,123.3038488
0.61,0.3,0.51,Total carbon,10.0448094,143.2591489
0.61,NA,0.47,Total carbon,10.45722652,176.7643442
0.62,0.16,0.41,Total carbon,10.69092955,129.7092537
0.62,0.22,0.45,Total carbon,10.91088535,148.1863835
0.62,0.27,0.46,Total carbon,11.02086325,187.6042603
0.62,0.29,0.48,Total carbon,11.76321406,201.1541554
0.62,0.31,0.5,Total carbon,11.84569749,203.8641345
0.63,0.26,0.42,Total carbon,13.44037702,186.6188134
0.63,0.29,0.44,Total carbon,14.04525547,255.8464595
0.63,0.14,0.46,Total carbon,14.0590027,148.4327452
0.63,0.19,0.48,Total carbon,14.29270574,254.6146508
0.63,0.23,0.49,Total carbon,15.55745157,240.818394
0.63,0.28,0.66,Total carbon,15.99736317,184.8942813
0.64,0.21,0.48,Total carbon,17.16587835,241.3111174
0.64,0.23,0.5,Total carbon,14.98006761,313.9878278
0.64,0.27,0.56,Total carbon,17.35833967,317.9296154
0.65,0.16,0.45,Total carbon,19.10423881,346.7539378
0.65,0.21,0.48,Total carbon,21.66122496,359.0720243
0.65,0.25,0.51,NA,NA,NA
0.66,0.15,0.5,NA,NA,NA
0.67,0.13,0.44,NA,NA,NA
0.67,0.21,0.47,NA,NA,NA
0.67,0.27,0.56,NA,NA,NA
