Country,City,alt_name_or_state,population,lat,long
Pakistan,Karachi,,14910352,24.87,66.99
China,Shanghai,,14348535,31.2165,121.4365
India,Mumbai,Bombay,11978450,19.017,72.857
Russian Federation,Moskva,,11918057,55.7522,37.6155
China,Beijing,PEKING,11509595,39.9289,116.3883
Pakistan,Lahore,,11126285,31.56,74.35
Republic of Korea,Seoul,,10038916,37.5663,126.9997
India,Delhi,,9879172,28.67,77.23
China,Chongqing,,9691901,29.565,106.595
Indonesia,Jakarta,,9607787,-6.1744,106.8294
Japan,Tokyo,,9272740,35.685,139.7514
Bangladesh,Dhaka,,8906035,23.7231,90.4086
Mexico,Mexico Ciudad De,,8874724,19.4424,-99.131
Mexico,Ciudad Del Carmen,,8720916,18.6537,-91.8245
Iran (Islamic Republic of),Tehran,,8693706,35.6719,51.4243
United States of America,New York,NY,8550405,40.6943,-73.9249
China,Guangzhou,,8524826,23.145,113.325
Peru,Lima,,8472935,-12.048,-77.0501
China,Wuhan,,8312700,30.58,114.27
United Kingdom of Great Britain and Northern Ireland,London,,8135667,51.5,-0.1167
Egypt,Cairo,,7771617,30.05,31.25
China,Tianjin,,7499181,39.13,117.2
"China, Hong Kong SAR",Hong Kong,,7451000,22.305,114.185
China,Shenzhen,,7008831,22.5524,114.1221
Colombia,Bogota,,6763325,4.5964,-74.0833
China,Dongguan,,6445777,23.0489,113.7447
Thailand,Bangkok,,6355144,13.75,100.5166
Brazil,Rio De Janeiro,,6320446,-22.925,-43.225
Chile,Santiago,,6148754,-33.45,-70.667
Singapore,Singapore,,5638676,1.293,103.8558
China,Shenyang,,5303053,41.805,123.45
Nigeria,Lagos,,5195247,6.4433,3.3915
Saudi Arabia,Riyadh,,5188286,24.6408,46.7727
Russian Federation,St Petersburg,,4990602,34.1,74.815
Australia,Sydney,,4643795,-33.92,151.1852
India,Kolkata,Calcutta,4572876,22.495,88.3247
Australia,Melbourne,,4557182,-37.82,144.975
China,Xian,,4481508,34.275,108.895
Cote d'Ivoire,Abidjan,,4395243,5.32,-4.04
United Republic of Tanzania,Dar es Salaam,,4364541,-6.8,39.2683
India,Chennai,,4343645,13.09,80.28
China,Chengdu,,4333541,30.67,104.07
India,Bangalore,,4301326,12.97,77.56
Egypt,Alexandria,,4030582,31.2,29.95
Jordan,Amman,,4007526,31.95,35.9333
United States of America,Los Angeles,CA,3976322,34.1139,-118.4068
Iraq,Baghdad,,3841268,33.3386,44.3939
Japan,Yokohama,,3724844,35.32,139.58
Republic of Korea,Busan,Pusan,3662884,35.0951,129.01
India,Hyderabad,,3637483,25.38,68.375
China,Nanjing,,3624234,32.05,118.78
Germany,Berlin,,3613495,52.5218,13.4015
India,Ahmadabad,,3520085,23.0301,72.58
China,Harbin,,3481504,45.75,126.65
Saudi Arabia,Jeddah,,3430697,21.5169,39.2192
Spain,Madrid,,3269044,40.4,-3.6834
China,Dalian,,3245191,38.9228,121.6298
China,Changchun,,3225557,43.865,125.34
Pakistan,Faisalabad,Lyallpur,3203846,31.41,73.11
Kenya,Nairobi,,3133518,-1.2833,36.8167
China,Kunming,,3035406,25.07,102.68
Iran (Islamic Republic of),Mashhad,,3001184,36.27,59.57
China,Jinan,,2999934,36.675,116.995
China,Guiyang,,2985105,26.58,106.72
Argentina,Buenos Aires,,2965403,-34.6025,-58.3975
Canada,Toronto,,2956024,43.7,-79.42
Philippines,Quezon City,,2936116,14.6504,121.03
Republic of Korea,Incheon,,2923047,37.4761,126.6422
United States of America,Chicago,IL,2896016,41.8373,-87.6861
Ukraine,Kyiv,,2893215,50.4334,30.5166
Italy,Roma,,2873147,41.896,12.4833
China,Zibo,,2817479,36.8,118.05
United Republic of Tanzania,Mwanza,,2772509,-2.52,32.93
Indonesia,Surabaya,,2765487,-7.2492,112.7508
Democratic People's Republic of Korea,Pyongyang,,2741260,39.0194,125.7547
Ethiopia,Addis Ababa,,2739551,9.0333,38.7
China,Qingdao,,2720972,36.09,120.33
Algeria,Algiers,EL DJAZAIR,2712944,36.7631,3.0506
Japan,Osaka,,2691185,34.75,135.4601
Brazil,Salvador,,2674923,-12.97,-38.48
Republic of Korea,Incheon,,2645189,37.4761,126.6422
Bangladesh,Chittagong,,2591681,22.33,91.8
China,Zhengzhou,,2589387,34.755,113.6651
Egypt,El Giza,,2572581,30.01,31.19
China,Taiyuan,,2558382,37.875,112.5451
India,Kanpur,,2551337,26.46,80.32
India,Pune,,2538473,18.53,73.85
Myanmar,Yangon,,2513023,16.7834,96.1667
Republic of Korea,Daegu,Taegu,2484022,35.8668,128.607
Brazil,Brasilia,,2481272,-15.7833,-47.9161
China,Chaoyang,Guangdong,2470812,23.37,116.67
Uzbekistan,Tashkent,,2464933,41.3117,69.2949
China,Hangzhou,,2451319,30.25,120.17
India,Surat,,2433835,21.2,72.84
Indonesia,Bandung,,2394873,-6.95,107.57
China,Zhongshan,,2363322,22.517,113.393
India,Jaipur,,2322575,26.9211,75.81
United States of America,Houston,TX,2303482,29.7868,-95.3905
Japan,Nagoya,,2295638,35.155,136.915
Ecuador,Guayaquil,,2291158,-2.22,-79.92
Australia,Brisbane,,2280290,-27.455,153.0351
Azerbaijan,Baku,,2254175,40.3953,49.8622
France,Paris,,2243833,48.8667,2.3333
Cuba,La Habana,,2202239,23.132,-82.3642
India,Lucknow,,2185927,26.855,80.915
Colombia,Medellín,,2183557,6.275,-75.575
Nigeria,Kano,,2166554,12,8.52
