name	alt_name_or_state
Karachi	NA
Shanghai	NA
Mumbai	Bombay
Moskva	NA
Moskva	NA
Beijing	PEKING
Moskva	NA
Lahore	NA
Moskva	NA
Moskva	NA
Moskva	NA
Moskva	NA
Moskva	NA
Seoul	NA
Seoul	NA
Seoul	NA
Seoul	NA
Seoul	NA
Seoul	NA
Seoul	NA
Seoul	NA
Seoul	NA
Delhi	NA
Seoul	NA
Seoul	NA
Seoul	NA
Seoul	NA
Chongqing	NA
Jakarta	NA
Karachi	NA
Tokyo	NA
Tokyo	NA
Dhaka	NA
Mexico_Ciudad_De	NA
Mexico_Ciudad_De	NA
Mexico_Ciudad_De	NA
Jakarta	NA
Ciudad_Del_Carmen	NA
Tehran	NA
New_York	NY
New_York	NY
Guangzhou	NA
Tokyo	NA
Lima	NA
Tokyo	NA
New_York	NY
New_York	NY
New_York	NY
Tokyo	NA
Wuhan	NA
New_York	NY
Mexico_Ciudad_De	NA
New_York	NY
Tehran	NA
New_York	NY
London	NA
Tokyo	NA
New_York	NY
Tehran	NA
Cairo	NA
Tianjin	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Shenzhen	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Hong_Kong_Sar	NA
Cairo	NA
Hong_Kong_Sar	NA
Bogotã_D.C.	NA
Hong_Kong_Sar	NA
Dongguan	NA
Bangkok	NA
Rio_De_Janeiro	NA
Santiago	NA
Santiago	NA
Santiago	NA
Santiago	NA
Lima	NA
Singapore	NA
Santiago	NA
Singapore	NA
Singapore	NA
Santiago	NA
Singapore	NA
Singapore	NA
Singapore	NA
Dhaka	NA
Singapore	NA
Shenyang	NA
Lagos	NA
Riyadh	NA
Singapore	NA
Santiago	NA
Lahore	NA
Santiago	NA
Santiago	NA
Singapore	NA
Santiago	NA
St._Petersburg	NA
Santiago	NA
Singapore	NA
Santiago	NA
Santiago	NA
St._Petersburg	NA
Santiago	NA
St._Petersburg	NA
Greater_Sydney	NA
Singapore	NA
Greater_Sydney	NA
Greater_Sydney	NA
Santiago	NA
Sydney	NA
Greater_Sydney	NA
St._Petersburg	NA
St._Petersburg	NA
Singapore	NA
St._Petersburg	NA
Sydney	NA
St._Petersburg	NA
Kolkata	Calcutta
St._Petersburg	NA
Melbourne	NA
Sydney	NA
Sydney	NA
Xi'An	NA
Sydney	NA
Greater_Melbourne	NA
Singapore	NA
Sydney	NA
Abidjan	NA
Sydney	NA
Dar_Es_Salaam	NA
Melbourne	NA
Greater_Melbourne	NA
Chennai	NA
Sydney	NA
Chengdu	NA
Sydney	NA
Bangalore	NA
Sydney	NA
Melbourne	NA
Singapore	NA
Sydney	NA
Greater_Melbourne	NA
Sydney	NA
Sydney	NA
Melbourne	NA
Melbourne	NA
Greater_Melbourne	NA
Singapore	NA
Riyadh	NA
Melbourne	NA
Melbourne	NA
Alexandria	NA
Sydney	NA
Amman	NA
Melbourne	NA
Los_Angeles	CA
Los_Angeles	CA
Sydney	NA
Melbourne	NA
Singapore	NA
Los_Angeles	CA
Melbourne	NA
Los_Angeles	CA
Baghdad	NA
Los_Angeles	CA
Los_Angeles	CA
Los_Angeles	CA
Melbourne	NA
Los_Angeles	CA
Singapore	NA
Yokohama	NA
Los_Angeles	CA
Yokohama	NA
Busan	Pusan
Sydney	NA
Hyderabad	NA
Melbourne	NA
Nanjing	NA
Berlin	NA
Melbourne	NA
Yokohama	NA
Melbourne	NA
Busan	Pusan
Yokohama	NA
Busan	Pusan
Busan	Pusan
Yokohama	NA
Ahmadabad	NA
Berlin	NA
Berlin	NA
Busan	Pusan
Haerbin	NA
Busan	Pusan
Berlin	NA
Berlin	NA
Busan	Pusan
Jiddah	NA
Busan	Pusan
Busan	Pusan
Yokohama	NA
Berlin	NA
Busan	Pusan
Busan	Pusan
Busan	Pusan
Busan	Pusan
Berlin	NA
Berlin	NA
Melbourne	NA
Alexandria	NA
Melbourne	NA
Berlin	NA
Madrid	NA
Madrid	NA
Madrid	NA
Dalian	NA
Changchun	NA
Madrid	NA
Madrid	NA
Faisalabad	Lyallpur
Madrid	NA
Madrid	NA
Madrid	NA
Madrid	NA
Nairobi	NA
Madrid	NA
Kunming	NA
Mashhad	NA
Jinan	NA
Guiyang	NA
Buenos_Aires	NA
Toronto	NA
Madrid	NA
Quezon_City	NA
Toronto	NA
Incheon	NA
Incheon	NA
Madrid	NA
Chicago	IL
Kyiv	NA
Incheon	NA
Kyiv	NA
Toronto	NA
Roma	NA
Roma	NA
Roma	NA
Chicago	IL
Chicago	IL
Chicago	IL
Incheon	NA
Chicago	IL
Zibo	NA
Toronto	NA
Kyiv	NA
Jiddah	NA
Kyiv	NA
Mwanza	NA
Roma	NA
Mashhad	NA
Surabaya	NA
Quezon_City	NA
Kyiv	NA
Roma	NA
Roma	NA
Pyongyang	NA
Addis_Ababa	NA
Roma	NA
Toronto	NA
Kyiv	NA
Riyadh	NA
Qingdao	NA
Chicago	IL
Chicago	IL
Algiers	EL_DJAZAIR
Roma	NA
Chicago	IL
Kyiv	NA
Chicago	IL
Osaka	NA
Quezon_City	NA
Kyiv	NA
Incheon	NA
Salvador	NA
Osaka	NA
Incheon	NA
Icheon	NA
Osaka	NA
Incheon	NA
Osaka	NA
Roma	NA
Roma	NA
Roma	NA
Osaka	NA
Kyiv	NA
Roma	NA
Toronto	NA
Incheon	NA
Surabaya	NA
Osaka	NA
Incheon	NA
Chittagong	NA
Zhengzhou	NA
Pyongyang	NA
Giza	NA
Kyiv	NA
Taiyuan	NA
Kanpur	NA
Roma	NA
Roma	NA
Roma	NA
Roma	NA
Pune	NA
Incheon	NA
Yangon	NA
Toronto	NA
Daegu	Taegu
Toronto	NA
Brasilia	NA
Daegu	Taegu
Incheon	NA
Daegu	Taegu
Chaoyang	Guangdong
Daegu	Taegu
Daegu	Taegu
Daegu	Taegu
Tashkent	NA
Daegu	Taegu
Daegu	Taegu
Daegu	Taegu
