Easting,Northing
314197.0666,5428650.186
314151.3634,5428642.393
314107.7427,5428639.199
314057.5368,5428629.223
314000.2952,5428621.82
313970.07,5428627.511
313960.276,5428639.514
313964.1029,5428655.726
314003.6136,5428696.411
314057.5336,5428724.936
314111.0031,5428762.814
314142.1842,5428785.105
314125.8598,5428837.015
314068.1129,5428792.277
314028.1516,5428760.946
313984.0256,5428720.417
313957.2345,5428702.647
313941.8693,5428686.825
313930.6688,5428680.201
313884.2897,5428686.437
313857.2734,5428673.344
313837.6307,5428650.663
313779.7985,5428631.608
313742.9608,5428607.174
313712.9062,5428561.501
313675.9285,5428516.062
313647.5057,5428484.34
313634.6734,5428463.764
313569.8908,5428421.599
313519.1796,5428374.289
313479.5563,5428335.943
313441.79,5428306.872
313479.1636,5428296.271
313521.4326,5428327.524
313569.2728,5428386.603
313620.0966,5428431.574
313669.8519,5428450.902
313720.0578,5428460.878
313742.8514,5428513.8
313793.2246,5428568.124
313806.1696,5428586.362
313835.7189,5428594.701
313879.9029,5428586.204
313961.6858,5428562.43
314030.6911,5428564.766
314092.7733,5428567.337
314147.7072,5428574.818
314220.5393,5428593.366
NA,NA
314380.4552,5428286.817
314325.5213,5428279.336
314319.1615,5428267.879
314277.6779,5428315.97
314214.4692,5428336.782
314186.6643,5428340.056
314131.5051,5428337.252
314086.9832,5428352.763
314066.214,5428353.465
313997.3213,5428348.79
313958.6539,5428338.425
313929.1046,5428330.086
313883.0635,5428329.308
313847.209,5428356.199
313816.6459,5428368.904
313791.1487,5428372.1
313754.9016,5428359.319
313723.8331,5428334.69
313680.4377,5428326.819
313641.8829,5428314.115
313595.9544,5428310.999
313536.2378,5428259.325
313503.3123,5428225.421
313450.9114,5428213.185
313483.3316,5428209.755
313396.3154,5428198.69
313391.42,5428156.835
313343.3545,5428102.433
313317.014,5428075.31
313273.4512,5428023.09
313209.7951,5427957.542
313189.5892,5427946.553
313164.6005,5427891.371
313114.9579,5427869.704
313095.3152,5427847.024
313078.5434,5427812.574
313051.4144,5427801.819
