date_time,date,time,Temp_4cm,Temp_15cm,Temp_45cm
01/12/2008 00:00,1/12/2008,00:00,18.0,,20.7
01/12/2008 00:30,1/12/2008,00:30,17.7,,20.6
01/12/2008 01:00,1/12/2008,01:00,17.7,,20.8
01/12/2008 01:30,1/12/2008,01:30,17.1,,20.4
01/12/2008 02:00,1/12/2008,02:00,17.1,,20.5
01/12/2008 02:30,1/12/2008,02:30,16.8,,20.2
01/12/2008 03:00,1/12/2008,03:00,16.5,,20.2
01/12/2008 03:30,1/12/2008,03:30,16.2,,20.1
01/12/2008 04:00,1/12/2008,04:00,16.1,,20.0
01/12/2008 04:30,1/12/2008,04:30,15.8,,20.0
01/12/2008 05:00,1/12/2008,05:00,15.6,,19.7
01/12/2008 05:30,1/12/2008,05:30,15.7,,19.9
01/12/2008 06:00,1/12/2008,06:00,15.8,,20.0
01/12/2008 06:30,1/12/2008,06:30,16.9,,20.7
01/12/2008 07:00,1/12/2008,07:00,16.8,,20.0
01/12/2008 07:30,1/12/2008,07:30,17.5,,19.8
01/12/2008 08:00,1/12/2008,08:00,17.2,,18.9
01/12/2008 08:30,1/12/2008,08:30,17.9,,18.9
01/12/2008 09:00,1/12/2008,09:00,18.6,,18.9
01/12/2008 09:30,1/12/2008,09:30,19.1,,18.8
01/12/2008 10:00,1/12/2008,10:00,19.7,,18.8
01/12/2008 10:30,1/12/2008,10:30,21.2,,19.4
01/12/2008 11:00,1/12/2008,11:00,21.6,,19.1
01/12/2008 11:30,1/12/2008,11:30,22.1,,19.0
01/12/2008 12:00,1/12/2008,12:00,22.4,,18.6
01/12/2008 12:30,1/12/2008,12:30,22.9,,18.7
01/12/2008 13:00,1/12/2008,13:00,23.2,,18.6
01/12/2008 13:30,1/12/2008,13:30,23.8,,18.6
01/12/2008 14:00,1/12/2008,14:00,23.8,,18.6
01/12/2008 14:30,1/12/2008,14:30,23.8,,18.5
01/12/2008 15:00,1/12/2008,15:00,24.1,,18.4
01/12/2008 15:30,1/12/2008,15:30,23.5,,18.5
01/12/2008 16:00,1/12/2008,16:00,22.8,,18.5
01/12/2008 16:30,1/12/2008,16:30,22.6,,18.6
01/12/2008 17:00,1/12/2008,17:00,22.3,,18.6
01/12/2008 17:30,1/12/2008,17:30,21.9,,18.6
01/12/2008 18:00,1/12/2008,18:00,21.3,,18.6
01/12/2008 18:30,1/12/2008,18:30,21.0,,18.9
01/12/2008 19:00,1/12/2008,19:00,20.5,,19.1
01/12/2008 19:30,1/12/2008,19:30,20.7,,19.9
01/12/2008 20:00,1/12/2008,20:00,20.0,,19.6
01/12/2008 20:30,1/12/2008,20:30,19.7,,19.7
01/12/2008 21:00,1/12/2008,21:00,19.0,,19.5
01/12/2008 21:30,1/12/2008,21:30,19.0,,19.7
01/12/2008 22:00,1/12/2008,22:00,18.6,,19.7
01/12/2008 22:30,1/12/2008,22:30,17.8,,19.1
01/12/2008 23:00,1/12/2008,23:00,18.6,,20.4
01/12/2008 23:30,1/12/2008,23:30,18.0,,20.0
02/12/2008 00:00,2/12/2008,00:00,17.7,,20.1
02/12/2008 00:30,2/12/2008,00:30,17.7,,20.2
02/12/2008 01:00,2/12/2008,01:00,17.6,,20.4
02/12/2008 01:30,2/12/2008,01:30,16.8,,19.8
02/12/2008 02:00,2/12/2008,02:00,16.9,,20.1
02/12/2008 02:30,2/12/2008,02:30,16.3,,19.8
02/12/2008 03:00,2/12/2008,03:00,15.5,,19.2
02/12/2008 03:30,2/12/2008,03:30,16.5,,20.4
02/12/2008 04:00,2/12/2008,04:00,14.9,,19.0
02/12/2008 04:30,2/12/2008,04:30,14.6,,18.9
02/12/2008 05:00,2/12/2008,05:00,14.4,,18.9
02/12/2008 05:30,2/12/2008,05:30,14.3,,18.9
02/12/2008 06:00,2/12/2008,06:00,15.1,,19.6
02/12/2008 06:30,2/12/2008,06:30,14.9,,19.0
02/12/2008 07:00,2/12/2008,07:00,15.3,,18.8
02/12/2008 07:30,2/12/2008,07:30,17.5,,20.1
02/12/2008 08:00,2/12/2008,08:00,18.0,,19.6
02/12/2008 08:30,2/12/2008,08:30,18.9,,19.5
02/12/2008 09:00,2/12/2008,09:00,19.4,,18.9
02/12/2008 09:30,2/12/2008,09:30,20.8,,19.1
02/12/2008 10:00,2/12/2008,10:00,23.1,,20.4
02/12/2008 10:30,2/12/2008,10:30,23.4,,19.8
02/12/2008 11:00,2/12/2008,11:00,23.4,,18.8
02/12/2008 11:30,2/12/2008,11:30,25.6,,20.3
02/12/2008 12:00,2/12/2008,12:00,25.2,,19.1
02/12/2008 12:30,2/12/2008,12:30,25.4,,18.6
02/12/2008 13:00,2/12/2008,13:00,26.1,,18.6
02/12/2008 13:30,2/12/2008,13:30,26.4,,18.6
02/12/2008 14:00,2/12/2008,14:00,26.8,,18.6
02/12/2008 14:30,2/12/2008,14:30,27.4,,19.1
02/12/2008 15:00,2/12/2008,15:00,27.0,,18.8
02/12/2008 15:30,2/12/2008,15:30,26.3,,18.9
02/12/2008 16:00,2/12/2008,16:00,25.1,,18.9
02/12/2008 16:30,2/12/2008,16:30,24.8,,18.9
02/12/2008 17:00,2/12/2008,17:00,24.7,,18.9
02/12/2008 17:30,2/12/2008,17:30,24.3,,19.1
02/12/2008 18:00,2/12/2008,18:00,23.7,,19.4
02/12/2008 18:30,2/12/2008,18:30,22.7,,19.0
02/12/2008 19:00,2/12/2008,19:00,22.0,,18.9
02/12/2008 19:30,2/12/2008,19:30,22.1,,19.8
02/12/2008 20:00,2/12/2008,20:00,21.2,,19.5
02/12/2008 20:30,2/12/2008,20:30,20.8,,19.6
02/12/2008 21:00,2/12/2008,21:00,20.3,,19.5
02/12/2008 21:30,2/12/2008,21:30,20.0,,19.8
02/12/2008 22:00,2/12/2008,22:00,20.4,,20.5
02/12/2008 22:30,2/12/2008,22:30,19.6,,20.0
02/12/2008 23:00,2/12/2008,23:00,19.1,,20.0
02/12/2008 23:30,2/12/2008,23:30,18.7,,19.8
03/12/2008 00:00,3/12/2008,00:00,18.8,,20.2
03/12/2008 00:30,3/12/2008,00:30,19.3,,21.1
03/12/2008 01:00,3/12/2008,01:00,18.6,,20.5
03/12/2008 01:30,3/12/2008,01:30,17.6,,19.7
03/12/2008 02:00,3/12/2008,02:00,17.3,,19.7
03/12/2008 02:30,3/12/2008,02:30,17.2,,19.7
03/12/2008 03:00,3/12/2008,03:00,17.3,,20.2
03/12/2008 03:30,3/12/2008,03:30,17.5,,20.4
03/12/2008 04:00,3/12/2008,04:00,17.2,,20.4
03/12/2008 04:30,3/12/2008,04:30,17.0,,20.3
03/12/2008 05:00,3/12/2008,05:00,16.7,,20.1
03/12/2008 05:30,3/12/2008,05:30,16.2,,19.7
03/12/2008 06:00,3/12/2008,06:00,16.2,,19.7
03/12/2008 06:30,3/12/2008,06:30,16.8,,19.9
03/12/2008 07:00,3/12/2008,07:00,17.8,,20.2
03/12/2008 07:30,3/12/2008,07:30,18.4,,20.0
03/12/2008 08:00,3/12/2008,08:00,19.5,,20.2
03/12/2008 08:30,3/12/2008,08:30,19.9,,19.5
03/12/2008 09:00,3/12/2008,09:00,21.0,,19.8
03/12/2008 09:30,3/12/2008,09:30,21.1,,19.1
03/12/2008 10:00,3/12/2008,10:00,22.0,,19.3
03/12/2008 10:30,3/12/2008,10:30,22.5,,19.1
03/12/2008 11:00,3/12/2008,11:00,22.9,,18.8
03/12/2008 11:30,3/12/2008,11:30,23.8,,18.8
03/12/2008 12:00,3/12/2008,12:00,24.6,,18.8
03/12/2008 12:30,3/12/2008,12:30,25.8,,19.0
03/12/2008 13:00,3/12/2008,13:00,26.3,,18.8
03/12/2008 13:30,3/12/2008,13:30,26.4,,18.8
03/12/2008 14:00,3/12/2008,14:00,26.8,,18.9
03/12/2008 14:30,3/12/2008,14:30,27.1,,18.9
03/12/2008 15:00,3/12/2008,15:00,27.1,,18.9
03/12/2008 15:30,3/12/2008,15:30,26.8,,18.9
03/12/2008 16:00,3/12/2008,16:00,26.3,,19.6
03/12/2008 16:30,3/12/2008,16:30,26.1,,19.5
03/12/2008 17:00,3/12/2008,17:00,26.2,,19.9
03/12/2008 17:30,3/12/2008,17:30,25.7,,19.7
03/12/2008 18:00,3/12/2008,18:00,25.0,,19.9
03/12/2008 18:30,3/12/2008,18:30,23.6,,19.3
03/12/2008 19:00,3/12/2008,19:00,22.9,,19.3
03/12/2008 19:30,3/12/2008,19:30,23.0,,20.1
03/12/2008 20:00,3/12/2008,20:00,22.4,,20.1
03/12/2008 20:30,3/12/2008,20:30,22.0,,20.2
03/12/2008 21:00,3/12/2008,21:00,21.8,,20.5
03/12/2008 21:30,3/12/2008,21:30,21.1,,20.2
03/12/2008 22:00,3/12/2008,22:00,20.9,,20.5
03/12/2008 22:30,3/12/2008,22:30,19.7,,19.7
03/12/2008 23:00,3/12/2008,23:00,20.0,,20.2
03/12/2008 23:30,3/12/2008,23:30,20.4,,21.0
04/12/2008 00:00,4/12/2008,00:00,19.3,,20.3
04/12/2008 00:30,4/12/2008,00:30,20.8,,22.0
04/12/2008 01:00,4/12/2008,01:00,20.0,,21.5
04/12/2008 01:30,4/12/2008,01:30,19.7,,21.4
04/12/2008 02:00,4/12/2008,02:00,19.6,,21.3
04/12/2008 02:30,4/12/2008,02:30,20.1,,21.9
04/12/2008 03:00,4/12/2008,03:00,19.2,,21.2
04/12/2008 03:30,4/12/2008,03:30,19.0,,21.2
04/12/2008 04:00,4/12/2008,04:00,18.2,,20.6
04/12/2008 04:30,4/12/2008,04:30,17.6,,20.2
04/12/2008 05:00,4/12/2008,05:00,17.7,,20.2
04/12/2008 05:30,4/12/2008,05:30,17.5,,20.0
04/12/2008 06:00,4/12/2008,06:00,17.6,,20.1
04/12/2008 06:30,4/12/2008,06:30,17.8,,20.0
04/12/2008 07:00,4/12/2008,07:00,19.0,,20.6
04/12/2008 07:30,4/12/2008,07:30,19.5,,20.1
04/12/2008 08:00,4/12/2008,08:00,19.8,,19.7
04/12/2008 08:30,4/12/2008,08:30,20.0,,19.7
04/12/2008 09:00,4/12/2008,09:00,22.1,,20.2
04/12/2008 09:30,4/12/2008,09:30,22.8,,20.0
04/12/2008 10:00,4/12/2008,10:00,23.4,,19.5
04/12/2008 10:30,4/12/2008,10:30,24.4,,19.4
04/12/2008 11:00,4/12/2008,11:00,25.8,,19.7
04/12/2008 11:30,4/12/2008,11:30,26.5,,19.9
04/12/2008 12:00,4/12/2008,12:00,27.3,,19.9
04/12/2008 12:30,4/12/2008,12:30,28.3,,20.1
04/12/2008 13:00,4/12/2008,13:00,29.2,,20.3
04/12/2008 13:30,4/12/2008,13:30,29.1,,20.1
04/12/2008 14:00,4/12/2008,14:00,29.3,,20.1
04/12/2008 14:30,4/12/2008,14:30,29.6,,20.2
04/12/2008 15:00,4/12/2008,15:00,29.5,,20.3
04/12/2008 15:30,4/12/2008,15:30,28.3,,19.7
04/12/2008 16:00,4/12/2008,16:00,27.9,,19.7
