"Long","Lat","Easting","Northing"
174.7891101,-41.29155464,314876.516392393,5426519.22059364
174.7910145,-41.29073049,315033.657942523,5426614.78354868
174.7912605,-41.29071846,315054.223753931,5426616.64350358
174.7917959,-41.2909223,315099.633498873,5426595.15290829
174.7925626,-41.29124948,315164.760006566,5426560.46079323
174.793219,-41.29133038,315219.954269634,5426552.8767107
174.7940939,-41.29132867,315293.212044564,5426554.92916319
174.7951869,-41.2911348,315384.191102378,5426578.77962843
174.7950769,-41.29097067,315374.51688305,5426596.76828057
174.7938198,-41.29113747,315269.719733693,5426575.57385434
174.792945,-41.29115288,315196.508800182,5426572.00032997
174.792421,-41.29101607,315152.243445821,5426586.07373413
174.7913984,-41.29056796,315065.34612769,5426633.64679058
174.7910445,-41.29053397,315035.614751725,5426636.66630405
174.7907243,-41.29067328,315009.195173348,5426620.51674691
174.7900157,-41.29032796,314948.881310325,5426657.3454136
174.7898612,-41.2901318,314935.388909458,5426678.7947842
174.7890932,-41.29043373,314871.930723313,5426643.63461987
174.7894796,-41.29098769,314905.854236113,5426582.95494352
174.7889152,-41.29121991,314859.248987061,5426555.96850457
174.787839,-41.29133752,314769.462532187,5426540.61410363
174.7863783,-41.29146741,314647.513852553,5426523.07397723
174.7862238,-41.29127124,314634.020718139,5426544.52392411
174.7864217,-41.29065839,314648.857000938,5426612.98889999
174.7846985,-41.29046519,314504.010101645,5426630.7570835
174.7836065,-41.2904788,314412.605229959,5426626.91121477
174.7833569,-41.28941611,314388.690303792,5426744.36357415
174.7803587,-41.28964125,314138.257959819,5426712.95011457
174.7800471,-41.2884169,314108.687287172,5426848.21736706
174.7800315,-41.28834759,314107.184072892,5426855.87916166
174.7795069,-41.28784419,314061.82295909,5426910.64578216
174.7792093,-41.28618067,314032.175139547,5427094.70202623
174.7794854,-41.28594904,314054.639170819,5427121.01056575
174.7791714,-41.28397354,314022.731026028,5427339.66948092
174.7783405,-41.28384795,313952.788077239,5427351.83240037
174.7789365,-41.28266814,313999.349930876,5427484.09931818
174.7792852,-41.28220394,314027.23477042,5427536.38476299
174.7799906,-41.2815786,314084.536311816,5427607.32491754
174.7810327,-41.28046729,314168.658878566,5427732.94074182
174.7818309,-41.28001512,314234.227038364,5427784.85194147
174.7819385,-41.28000336,314243.205479828,5427786.38788941
174.7823223,-41.2798062,314274.790569857,5427809.09905272
174.783242,-41.27892622,314349.32325269,5427908.76706781
174.7838494,-41.28124784,314406.776428553,5427652.30630648
