Group,Sample ID,Samp m [g],UTM east [m],UTM north [m],Longitude,Latitude,Samp type,Depth [m] (min),Depth [m] (max),Cond electr [µS/cm],pH,Al [mg/kg],As [mg/kg],B [mg/kg],Ba [mg/kg],Be [mg/kg],Ca [mg/kg],Cd [mg/kg],Ce [mg/kg],Co [mg/kg],Cr [mg/kg],Cu [mg/kg],Fe [mg/kg],Ga [mg/kg],Gd [mg/kg],Ge [mg/kg],K [mg/kg],La [mg/kg],Mg2+ [mg/kg],Mn [mg/kg],Mo [mg/kg],Na [mg/kg],Nb [mg/kg],Nd [mg/kg],Ni [mg/kg],P [mg/kg],Pb [mg/kg],S [mg/kg],Sc [mg/kg],Si [mg/kg],Sr [mg/kg],Th [mg/kg],Ti [mg/kg],V [mg/kg],Y [mg/kg],Zn [mg/kg],Zr [mg/kg]
1,1,0.308,391826.9,6465482,115.85553,-31.9414,Soil,0,0.05,178.5,7.08,11409.65731,2.27516,,36.4951,0.21961,8060.69435,0.13794,13.49577,2.72507,25.68618,33.07923,15664.14473,2.15559,1.37716,1.21208,332.23386,6.94751,543.57697,79.55904,0.96534,190.19899,22.22808,4.19371,21.98689,226.45463,180.31292,288.58441,1.43686,1025.80664,27.49076,3.80162,257.19878,33.15757,3.85903,134.3659,1.87237
1,2,0.302,391837.3,6465479,115.85564,-31.9415,Soil,0,0.05,97.9,7.31,6637.413166,2.47247,6.16776,25.37683,0.06818,9743.03569,0.13942,4.37542,1.35277,18.28213,192.44389,10232.66644,2.68627,0.61433,1.07182,189.49161,2.27207,545.23861,49.98135,0.60949,244.25795,10.45222,0.99147,6.84429,292.37546,120.64009,280.29537,0.70284,732.06464,53.49016,2.24114,117.88409,20.65398,1.96606,150.77733,1.06528
1,3,0.301,391847.8,6465473,115.85575,-31.9415,Soil,0,0.05,66.8,5.61,4747.684168,2.21651,,7.17116,0.03688,700.44353,,3.24089,,10.00484,2.42627,2264.629399,,0.32713,,119.25457,1.36073,119.133,55.81251,0.28938,63.26897,7.61693,1.05322,1.05633,140.63927,3.47536,155.56508,0.37923,745.35168,3.40417,1.14231,90.54484,6.91879,1.0038,15.70003,1.03483
1,4,0.303,391867.7,6465464,115.85596,-31.9416,Soil,0,0.05,266,6.73,9022.029123,,2.33001,28.74868,0.11275,8401.85119,0.15336,7.86928,1.28885,17.62091,38.55004,10275.74006,0.86305,0.78982,1.20738,248.70995,3.93791,589.59097,62.37481,0.61659,313.28866,16.57512,2.30016,10.45035,440.03866,83.80194,377.38468,0.93431,866.81239,39.08704,2.36016,191.81496,24.42699,2.42611,120.49989,1.51754
1,5,0.301,391882.9,6465453,115.85612,-31.9417,Soil,0,0.05,177.9,6.87,6339.890897,,6.33718,45.92713,0.10804,16661.79811,0.14196,5.89495,1.38371,10.76766,22.34035,6824.098057,1.16235,0.52807,1.2167,227.97401,3.40164,989.53695,47.50849,0.5127,203.7165,12.12619,0.67629,4.49761,466.33222,89.9996,585.15936,0.68289,765.95188,81.40963,1.34881,131.10109,19.89366,2.85504,129.47161,1.03875
1,6,0.311,391893.5,6465443,115.85623,-31.9418,Soil,0,0.05,86.4,5.81,2339.121222,,,15.00582,0.04632,2885.83005,0.05828,4.55724,0.68921,5.36402,8.38439,1973.763764,,0.43655,0.47576,155.74331,2.20063,267.32402,78.04859,0.29552,88.60754,5.69702,1.30001,5.05778,318.61665,6.74456,306.9493,0.17038,605.40063,12.27652,0.58462,64.75014,5.87931,1.8039,43.38423,0.31402
1,7,0.302,391916.3,6465432,115.85647,-31.9419,Soil,0,0.05,418,6.1,3867.272912,,12.04578,42.45025,0.07461,20424.24708,0.24725,4.21194,1.80222,8.771,22.05857,5170.430965,0.47502,0.55267,1.26706,193.77457,2.75685,1049.46441,44.64893,0.53604,360.88983,8.95686,,5.45069,509.42044,97.97962,628.54031,0.39148,692.50743,114.30538,0.99282,93.19599,13.14549,2.2363,123.89654,0.79951
1,8,0.313,391935.3,6465423,115.85667,-31.942,Soil,0,0.05,107.4,6.67,5579.052414,1.79339,,9.09794,0.04678,1945.01165,0.03183,4.2816,,10.58477,3.01191,2871.609296,0.48907,0.32149,0.57468,139.91055,1.5606,137.6966,25.19719,0.20733,69.92009,6.41275,0.97113,1.93363,96.66406,7.9058,72.77444,0.44935,826.87384,8.91613,1.48614,73.48319,7.06994,0.82197,11.70867,1.51031
1,9,0.296,391947.6,6465415,115.8568,-31.9421,Soil,0,0.05,128.9,7.53,5675.031542,1.84784,,16.13146,0.05246,15080.14173,0.03206,4.76446,0.77005,11.60774,7.22614,4915.019949,1.06668,0.3124,0.98674,126.76073,2.13021,442.12244,45.6319,0.30684,116.40762,8.7717,0.57989,4.06693,175.40388,29.03987,119.67203,0.47279,821.15775,70.2302,1.86891,94.52338,12.91834,1.27892,31.62861,1.1178
1,10,0.297,391960,6465411,115.85693,-31.9421,Soil,0,0.05,262.5,6.93,7440.114743,6.62943,,280.35269,0.24281,8023.41316,0.52692,10.10211,6.76045,19.71394,1879.92405,25726.40277,6.51396,1.19287,1.68815,244.57212,4.96175,935.562,237.43985,0.55863,195.74077,15.98473,,21.16531,637.36851,1232.75465,336.52222,1.30259,1185.47883,55.50105,3.85187,178.37848,25.8565,3.6843,452.23658,2.61205
